Camp,Block,Total Families,Total Individuals
Camp 10,C10_A,1378,6142
,C10_B,1316,5904
,C10_C,1525,6338
,C10_D,988,4248
,C10_E,1398,5745
,C10_F,1046,4576
Camp 10 Total,,7651,32953
Camp 11,C11_A,1061,4791
,C11_B,970,4178
,C11_C,1538,6519
,C11_D,1287,5647
,C11_E,1054,4665
,C11_F,1251,5665
Camp 11 Total,,7161,31465
Camp 12,C12_A,1400,6550
,C12_B,1477,6630
,C12_C,1290,5668
,C12_D,1111,4897
Camp 12 Total,,5278,23745
Camp 13,C13_A,1674,6932
,C13_B,1459,6416
,C13_C,1187,4745
,C13_D,1480,6591
,C13_E,1139,4886
,C13_F,1590,7111
,C13_G,1271,5089
Camp 13 Total,,9800,41770
Camp 14,C14_A,1416,6511
,C14_B,1530,6820
,C14_C,1278,5767
,C14_D,1380,6286
,C14_E,1445,6528
Camp 14 Total,,7049,31912
Camp 15,C15_A,1101,4555
,C15_B,1620,6993
,C15_C,1138,4924
,C15_D,1498,6634
,C15_E,1289,5743
,C15_F,1409,6415
,C15_G,1461,6684
,C15_H,1659,7452
Camp 15 Total,,11175,49400
Camp 16,C16_A,1644,7389
,C16_B,987,4378
,C16_C,1080,4842
,C16_D,1178,5229
Camp 16 Total,,4889,21838
Camp 17,C17_A,1396,5902
,C17_B,1422,5855
,C17_C,1331,5617
Camp 17 Total,,4149,17374
Camp 18,C18_A,1149,4664
,C18_B,1310,5224
,C18_C,1352,5456
,C18_D,1380,5715
,C18_E,1349,5742
Camp 18 Total,,6540,26801
Camp 19,C19_A,1291,5318
,C19_B,1309,5658
,C19_C,1387,6162
,C19_D,839,3695
Camp 19 Total,,4826,20833
Camp 1E,C01E_A,1348,5716
,C01E_B,1608,6955
,C01E_C,1274,5753
,C01E_D,1237,5551
,C01E_E,1255,5411
,C01E_F,1410,6099
,C01E_G,1201,5053
Camp 1E Total,,9333,40538
Camp 1W,C01W_A,1461,6223
,C01W_B,1476,6437
,C01W_C,1594,6705
,C01W_D,1131,4815
,C01W_E,1028,4493
,C01W_F,1345,5710
,C01W_G,1442,6678
Camp 1W Total,,9477,41061
Camp 20,C20_A,920,3791
,C20_B,874,3648
Camp 20 Total,,1794,7439
Camp 20 Extension,Camp 20 Extension,1131,4587
Camp 20 Extension Total,,1131,4587
Camp 21,C21_A,1371,5749
,C21_B,1413,5609
,C21_C,92,326
,C21_D,196,773
,C21_E,171,715
Camp 21 Total,,3243,13172
Camp 22,C22_A,1293,6363
,C22_B,1482,7137
,C22_C,270,1281
,C22_D,1542,7434
Camp 22 Total,,4587,22215
Camp 23,C23_A,1339,5579
,C23_B,1149,4631
Camp 23 Total,,2488,10210
Camp 24,C24_A,1098,4907
,C24_B,987,4518
,C24_C,854,3938
,C24_D,869,3649
,C24_E,1478,6247
,C24_F,1738,7183
,C24_G,736,3098
Camp 24 Total,,7760,33540
Camp 25,C25_A,887,3937
,C25_B,1256,5560
Camp 25 Total,,2143,9497
Camp 26,C26_A,538,2208
,C26_B,431,1862
,C26_C,66,267
,C26_D,1350,6203
,C26_E,1276,5577
,C26_F,1544,6667
,C26_G,1434,5989
,C26_H,1317,6018
,C26_I,1436,6216
Camp 26 Total,,9392,41007
Camp 27,C27_A,1128,5214
,C27_B,1335,5887
,C27_C,687,3168
Camp 27 Total,,3150,14269
Camp 2E,C02E_A,1427,5781
,C02E_B,1090,4670
,C02E_C,1660,6813
,C02E_D,1510,6204
,C02E_E,1612,6700
Camp 2E Total,,7299,30168
Camp 2W,C02W_A,1449,6188
,C02W_B,1516,6873
,C02W_C,1443,6242
,C02W_D,1571,6745
Camp 2W Total,,5979,26048
Camp 3,C03_A,1547,6566
,C03_B,1294,5568
,C03_C,1000,4332
,C03_D,1377,5974
,C03_E,1420,6247
,C03_F,1347,5815
,C03_G,1215,5157
Camp 3 Total,,9200,39659
Camp 4,C04_A,1345,5476
,C04_B,1265,5066
,C04_C,1280,5193
,C04_D,1062,4336
,C04_E,1330,5585
,C04_F,880,3650
,C04_G,781,3066
Camp 4 Total,,7943,32372
Camp 4 Extension,C04X_A,****,****
,C04X_B,453,1854
,C04X_C,793,3271
,C04X_D,****,****
,C04X_F,****,****
,C04X_H,56,223
,C04X_I,186,811
Camp 4 Extension Total,,1492,6172
Camp 5,C05_A,1442,6199
,C05_B,1103,4451
,C05_C,985,4145
,C05_D,1323,5405
,C05_E,1195,4922
Camp 5 Total,,6048,25122
Camp 6,C06_A,1459,6524
,C06_B,1307,5619
,C06_C,1602,6850
,C06_D,1436,5938
Camp 6 Total,,5804,24931
Camp 7,C07_A,1165,4971
,C07_B,1445,6252
,C07_C,1422,5974
,C07_D,1373,5797
,C07_E,1194,4894
,C07_F,1363,5631
,C07_G,1447,6108
Camp 7 Total,,9409,39627
Camp 8E,C08E_A,1287,5327
,C08E_B,1188,5062
,C08E_C,1274,5472
,C08E_D,1022,4635
,C08E_E,1167,5104
,C08E_F,1270,5634
Camp 8E Total,,7208,31234
Camp 8W,C08W_A,1176,5019
,C08W_B,1239,5220
,C08W_C,1489,6625
,C08W_D,1268,5474
,C08W_E,1060,4766
,C08W_F,1233,5253
Camp 8W Total,,7465,32357
Camp 9,C09_A,1434,5858
,C09_B,1185,4938
,C09_C,1067,4412
,C09_D,1170,4716
,C09_E,1421,5856
,C09_F,1212,5378
,C09_G,1226,5659
Camp 9 Total,,8715,36817
Kutupalong RC Total,,3549,18200
Nayapara RC Total,,5697,27222
,,210431,912114
