type,name,label::english,label::rohingya,hint::english,hint::rohingya,calculation,required,relevant,constraint,constraint_message::english,constraint_message::rohingya,appearance,repeat_count,media::image::english,media::image::rohingya,choice_filter
today,survey_date,,,,,,,,,,,,,,,
start,survey_start,,,,,,,,,,,,,,,
deviceid,deviceid,Device ID,,,,,,,,,,,,,,
end,end_survey,,,,,,,,,,,,,,,
calculate,instance_name,,,,,uuid(),,,,,,,,,,
audit,audit,,,,,,,,,,,,,,,
text,enumerator_id,Enumerator ID,????? ????? ?????,,,,true,,,,,,,,,
select_one camp,camp_name,Name of camp,?????? ???,,,,true,,,,,,,,,
note,intro_text,"Hello my name is ______. I work for REACH. Together with ISCG, we are conducting a survey to understand the needs of refugees from Myanmar and to what services you have access. We also may ask you a few questions about yourself personally and members of your household. The survey usually takes around 45 minutes. Any information that you provide will be kept anonymous. This is voluntary and you can choose not to answer any or all of the questions if you want; you may also choose to quit at any point. Participation in the survey does not have any impact on whether you or your family receive assistance. However, we hope that you will participate since your views are important. Do you have any questions?","?????????????????! ?????? ???________________? ??????  ??? ??? ?????'? ??? ???? ????????'? ?????????? ???? ??????? ?????? ?????? ?????? ????? ?? ???? ?? ?? ??? ?? ???? ????????? ?????? ????? ????? ??????? ??? ???? ?????? ?? ??? ??? ?????? ?????? ???? ???? ??????? ???? ????? ???????? ?????? ??????? ???? ????? ?????? ??? ?? ?????? ????? ?? ???? ?????? ??? ?????'? ????? ?????? ??? ???????? ?? ?????? ?? ??????? ?????? ?'??? ??? ???? ?'?? ???????, ?? ?????? ?? ?? ???? ???? ??? ????? ???????? ?????'? ????? ??? ????? ??? ?? ??? ??? ?????? ?? ??? ?? ??? ?? ??????  ???-?????? ?'???? ???, ??????? ??? ???? ??? ????? ????? ???????-???-???? ??? ???? ?????? ?????? ?? ?????? ??? ???",,,,,,,,,,,,,
select_one yesnoconsent,informed_consent,"To ensure coordination of the needed assistance, we may share the collected information with other humanitarian agencies. However, your personal data will not be shared. Do you consent to participate in this survey?","????? ????? ???? ?????? ??? ????????, ??????? ?????? ?????? ????? ?????? ??? ???? ????? ??????? ?????? ????? ???, ??? ?????? ??? ?'???????? 
??? ? ?????'? ????? ??????? ???? ??? ???",,,,true,,,,,,,,,
begin_group,consent_received,,,,,,,"selected(${informed_consent},'yes')",,,,,,,,
begin_group,HH_Characteristics,HH_Characteristics,,,,,,,,,,,,,,
integer,respondent_age,Age of respondent,?????? ???? ???,,,,true,,. >=18 and . <=99,"Interviewees must be over 18 years of age. If you are interviewing someone less than 18 years of age, please stop the interview.",????????????????? ???? ?? ????? ???? ??? ???? ???? ??  ????? ?? ????? ???? ??????????  ??????? ?? ????? ????  ???? ??????????  ???? ?????,,,,,
select_one gender,respondent_gender,Gender respondent,?????? ??? ??? ?? ????- ?????,,,,true,,,,,,,,,
note,hh_text,"NOTE: for the purposes of this conversation, we are considering people in your ""household"" to be the group of people who regularly eat from the same pot and share the same shelter. The head of household is the individual who makes decisions on behalf of the entire household. This is unrelated to how many people are included on your registration card or who the name on the registration card is. Do you have any questions?",????? ???????? ?? ?????? ?????  ????? ????  ???????? ??? ?????  ??? ??? ?? ??? ???  ???? ??????? ??? ?????/??? ??? ??? ???? ??? ??? ?????? ?? ???????? ???? ???? ??? ?????? ????????? ??? ??? ?? ?????? ?????  ???????????? ?????? ????'? ?????? ??????? ????? ??? ?????? ??? ?????? ?????? ??????/??? ??????  ???,,,,,,,,,,,,,
